@relation '212700L1_2final-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_splacona_cz:dobry-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nwindykacja_odmowa_windykacja_sp:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-weka.filters.supervised.attribute.Discretize-R1,2,3,4,7,8-precision6'

@attribute 'rodzaj zrodla dochodu' {'\'All\''}
@attribute 'miesieczny dochod netto' {'\'(-inf-546.26]\'','\'(546.26-inf)\''}
@attribute 'ktore rolowanie' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'kwota kredytu' {'\'All\''}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' {'\'(-inf-4.5]\'','\'(4.5-inf)\''}
@attribute 'okres w jakim bedzie pobieral dochod' {'\'(-inf-32.5]\'','\'(32.5-inf)\''}
@attribute 'status pozyczki' {dobry,zly}

@data
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-30.4]\'',M,'\'(-inf-4.5]\'','\'(-inf-32.5]\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(-inf-32.5]\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-30.4]\'',M,'\'(-inf-4.5]\'','\'(-inf-32.5]\'',zly
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',M,'\'(-inf-4.5]\'','\'(-inf-32.5]\'',zly
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(67.6-inf)\'',K,'\'(-inf-4.5]\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',M,'\'(-inf-4.5]\'','\'(-inf-32.5]\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',K,'\'(-inf-4.5]\'','\'(-inf-32.5]\'',zly
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',K,'\'(-inf-4.5]\'','\'(-inf-32.5]\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(-inf-30.4]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',M,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(-inf-30.4]\'',M,'\'(-inf-4.5]\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(30.4-42.8]\'',K,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',zly
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(30.4-42.8]\'',K,'\'(-inf-4.5]\'','\'(-inf-32.5]\'',zly
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(67.6-inf)\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(-inf-0.5]\'','\'All\'','\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(42.8-55.2]\'',M,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(-inf-30.4]\'',M,'\'(4.5-inf)\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(-inf-30.4]\'',M,'\'(-inf-4.5]\'','\'(-inf-32.5]\'',dobry
'\'All\'','\'(546.26-inf)\'','\'(0.5-inf)\'','\'All\'','\'(55.2-67.6]\'',K,'\'(4.5-inf)\'','\'(32.5-inf)\'',dobry
